"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"11",5,1,0,7,7,7,13,53.84,0,0,0,0,2,0,5,5,264,224,5,44.8,5.09,52.8,0,0,0," Mohammad Nazmul Islam","Bangladesh","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"12",27,17,10,80,16,11.42,107,74.76,0,0,9,3,6,0,27,27,1257,1033,41,25.19,4.93,30.6,1,0,0," Aftab Alam","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"13",37,19,9,69,15,6.9,76,90.78,0,0,8,2,6,0,37,36,1973,1280,58,22.06,3.89,34,2,1,0," Mujeeb Ur Rahman","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"14",64,55,8,1024,82,21.78,1408,72.72,0,5,81,25,12,0,64,59,2164,1940,59,32.88,5.37,36.6,2,1,0," Gulbadin Naib","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"15",121,109,11,2699,116,27.54,3134,86.11,1,14,166,87,55,0,121,117,5739,4103,128,32.05,4.28,44.8,3,0,0," Mohammad Nabi","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"16",68,53,9,903,60,20.52,892,101.23,0,4,81,28,21,0,68,64,3378,2333,131,17.8,4.14,25.7,4,4,0," Rashid Khan Arman","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak googly"
"17",84,74,12,1811,96,29.2,2765,65.49,0,11,137,26,21,0,84,65,2111,1729,46,37.58,4.91,45.8,1,0,0," Samiullah Shinwari","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak"
"18",84,84,3,2727,131,33.66,3082,88.48,6,14,323,55,64,25,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Shahzad Mohammadi","Afghanistan","Batting style Right-hand bat",NA
"19",16,16,2,307,57,21.92,440,69.77,0,3,38,6,10,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Ihsanullah Janat","Afghanistan","Batting style Right-hand bat",NA
"20",70,66,2,2255,114,35.23,3215,70.13,4,15,195,24,19,0,70,26,524,504,14,36,5.77,37.4,0,1,0," Rahmat Shah Zurmatai","Afghanistan","Batting style Right-hand bat","Bowling style Legbreak googly"
"21",39,39,6,1062,97,32.18,1667,63.7,0,9,90,3,9,0,39,2,18,25,0,NA,8.33,NA,0,0,0," Hashmatullah Shahidi","Afghanistan","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"22",108,102,9,2232,101,24,3386,65.91,1,11,154,55,24,0,108,7,139,91,3,30.33,3.92,46.3,0,0,0," Mohammad Asghar Afghan","Afghanistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"23",36,15,7,62,19,7.75,125,49.6,0,0,3,1,10,0,36,36,1902,1719,67,25.65,5.42,28.3,2,1,0," Lachlan Hammond Ferguson","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast"
"24",44,44,4,1828,210,45.7,1900,96.21,4,11,215,30,19,0,44,7,135,111,1,111,4.93,135,0,0,0," Fakhar Zaman","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"25",218,216,15,6614,140,32.9,8633,76.61,11,38,664,110,85,0,218,177,7733,5400,139,38.84,4.18,55.6,1,0,0," Mohammad Hafeez","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"26",72,70,10,3213,125,53.55,3726,86.23,10,15,279,27,36,0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Mohammad Babar Azam","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"27",39,38,5,1518,130,46,1797,84.47,2,12,125,23,15,0,39,21,642,613,11,55.72,5.72,58.3,0,0,0," Haris Sohail","Pakistan","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"28",287,258,40,7534,143,34.55,9199,81.9,9,44,603,113,98,0,287,217,7958,6192,158,39.18,4.66,50.3,1,0,0," Shoaib Malik","Pakistan","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"29",18,14,1,361,52,27.76,280,128.92,0,3,20,21,5,0,18,1,5,9,0,NA,10.8,NA,0,0,0," Asif Ali","Pakistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"30",23,15,2,162,28,12.46,195,83.07,0,0,13,6,5,0,23,22,902,744,20,37.2,4.94,45.1,0,1,0," Faheem Ashraf","Pakistan","Batting style Left-hand bat","Bowling style Right-arm medium"
"31",53,29,9,280,59,14,247,113.36,0,2,18,17,12,0,53,51,2548,2381,82,29.03,5.6,31,1,3,0," Hasan Ali","Pakistan","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"32",114,88,22,2271,105,34.4,2577,88.12,2,11,171,12,112,24,114,1,12,15,0,NA,7.5,NA,0,0,0," Sarfaraz Ahmed","Pakistan","Batting style Right-hand bat",NA
"33",41,22,9,337,54,25.92,491,68.63,0,3,20,4,8,0,41,39,1975,1624,56,29,4.93,35.2,3,0,0," Shadab Khan","Pakistan","Batting style Right-hand bat","Bowling style Legbreak"
"34",19,8,6,42,19,21,64,65.62,0,0,2,2,2,0,19,18,924,847,40,21.17,5.5,23.1,4,1,0," Shaheen Shah Afridi","Pakistan","Batting style Left-hand bat","Bowling style Left-arm medium"
"35",52,21,7,211,48,15.07,211,100,0,0,19,9,17,0,52,50,2703,2437,92,26.48,5.4,29.3,7,2,0," Matthew James Henry","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"36",89,39,23,154,21,9.62,209,73.68,0,0,14,6,30,0,89,89,4884,4111,164,25.06,5.05,29.7,7,5,0," Trent Alexander Boult","New Zealand","Batting style Right-hand bat","Bowling style Left-arm fast-medium"
"37",38,29,6,633,74,27.52,590,107.28,0,3,47,26,11,0,38,38,1296,1046,24,43.58,4.84,54,0,0,0," Colin de Grandhomme","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"38",31,13,2,67,24,6.09,88,76.13,0,0,3,4,7,0,31,30,1548,1430,39,36.66,5.54,39.6,1,0,0," Inderbir Singh Sodhi","New Zealand","Batting style Right-hand bat","Bowling style Legbreak"
"39",57,53,2,1271,87,24.92,1214,104.69,0,8,138,36,22,0,57,25,552,481,7,68.71,5.22,78.8,0,0,0," Colin Munro","New Zealand","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"40",10,10,2,272,58,34,379,71.76,0,3,23,3,5,0,10,1,6,5,0,NA,5,NA,0,0,0," George Herrick Worker","New Zealand","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"41",45,43,10,1120,124,33.93,1359,82.41,1,9,96,10,16,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Henry Michael Nicholls","New Zealand","Batting style Left-hand bat","Bowling style Right-arm offbreak"
"42",228,212,37,8376,181,47.86,10091,83,20,50,694,140,137,0,228,4,42,35,0,NA,5,NA,0,0,0," Luteru Ross Poutoa Lote Taylor","New Zealand","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"43",95,88,9,2550,137,32.27,3096,82.36,4,15,213,34,79,7,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Thomas William Maxwell Latham","New Zealand","Batting style Left-hand bat","Bowling style Right-arm medium"
